"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Nayagram,220,ST,Jhargram,Amiya Kisku,Bharatiya Janata Party,226894,204823,90.3 %,6424,3.1%
Noapara,107,GEN,North_24_parganas,Arjun Singh,Bharatiya Janata Party,213727,193805,90.7 %,17656,9.1%
Onda,254,GEN,Bankura,Amarnath Shakha,Bharatiya Janata Party,262408,242329,92.3 %,31723,13.1%
Palashipara,79,GEN,Nadia,Rukbanur Rahman,All India Trinamool Congress,231620,212602,91.8 %,11454,5.4%
Panchla,175,GEN,Haora,Gulsan Mullick,All India Trinamool Congress,248497,233424,93.9 %,38320,16.4%
Pandabeswar,275,GEN,Paschim_bardhaman,Jitendra Kumar Tewari,Bharatiya Janata Party,188390,173423,92.1 %,1398,0.8%
Pandua,192,GEN,Hooghly,Tusar Kumar Majumdar,Bharatiya Janata Party,249081,232067,93.2 %,5228,2.3%
Panihati,111,GEN,North_24_parganas,Ratna Debnath,Bharatiya Janata Party,189714,173939,91.7 %,28836,16.6%
Panskura Paschim,205,GEN,Purbo_medinipur,Sintu Senapati,Bharatiya Janata Party,278744,257170,92.3 %,32567,12.7%
Panskura Purba,204,GEN,Purbo_medinipur,Subrata Maity(RANA),Bharatiya Janata Party,238519,219341,92.0 %,17903,8.2%
Para,245,SC,Purulia,Nadiar Chand Bouri,Bharatiya Janata Party,236120,213158,90.3 %,33721,15.8%
Patashpur,212,GEN,Purbo_medinipur,Tapan Maity,Bharatiya Janata Party,247037,231212,93.6 %,9051,3.9%
Patharpratima,130,GEN,South_24_parganas,Samir Kumar Jana,All India Trinamool Congress,257704,245015,95.1 %,4873,2.0%
Phansidewa,27,ST,Darjeeling,Durga Murmu,Bharatiya Janata Party,217298,205539,94.6 %,45263,22.0%
Pingla,227,GEN,Paschim_medinipur,Swagata Manna,Bharatiya Janata Party,255892,240581,94.0 %,18480,7.7%
Purbasthali Dakshin,268,GEN,Purba_bardhaman,Pran Krishna Tapadar,Bharatiya Janata Party,232577,218133,93.8 %,16662,7.6%
Purbasthali Uttar,269,GEN,Purba_bardhaman,Gopal Chattopadhyay,Bharatiya Janata Party,239480,223692,93.4 %,30226,13.5%
Pursurah,199,GEN,Hooghly,Biman Ghosh,Bharatiya Janata Party,259590,238145,91.7 %,53453,22.4%
Purulia,242,GEN,Purulia,Sudip Kumar Mukherjee,Bharatiya Janata Party,251816,228925,90.9 %,49253,21.5%
Raghunathganj,59,GEN,Murshidabad,Akhruzzaman,All India Trinamool Congress,200452,192812,96.2 %,40555,21.0%
Raghunathpur,246,SC,Purulia,Mamoni Bauri,Bharatiya Janata Party,254023,231230,91.0 %,44059,19.1%
Raidighi,134,GEN,South_24_parganas,Tapas Mondal S/o-Shibprasad Mondal,All India Trinamool Congress,267846,256621,95.8 %,5957,2.3%
Raiganj,35,GEN,Uttar Dinajpur,Koushik Chowdhury,Bharatiya Janata Party,174126,163150,93.7 %,58641,35.9%
